country,iso,year,emissions,indicator,Ranking
Faroe Islands,FRO,2023,0.009654565,Difference,109
Russia,RUS,2023,0.007621117,Difference,110
Syria,SYR,2023,0.007484372,Difference,111
Kenya,KEN,2023,0.006245713,Difference,112
Uruguay,URY,2023,0.005895,Difference,113
Brazil,BRA,2023,0.005434641,Difference,114
Ethiopia,ETH,2023,0.004632999,Difference,115
Paraguay,PRY,2023,0.003930102,Difference,116
Burundi,BDI,2023,0.003414465,Difference,117
Kazakhstan,KAZ,2023,0.002937258,Difference,118
Suriname,SUR,2023,0.00290327,Difference,119
Malawi,MWI,2023,0.002404176,Difference,120
Rwanda,RWA,2023,-0.000346584,Difference,121
Uzbekistan,UZB,2023,-0.002162368,Difference,122
Canada,CAN,2023,-0.002383985,Difference,123
Switzerland,CHE,2023,-0.002486068,Difference,124
Democratic Republic of Congo,COD,2023,-0.003162228,Difference,125
Cyprus,CYP,2023,-0.003237641,Difference,126
Djibouti,DJI,2023,-0.003477913,Difference,127
Australia,AUS,2023,-0.003616745,Difference,128
Bangladesh,BGD,2023,-0.003829553,Difference,129
Eritrea,ERI,2023,-0.004303493,Difference,130
Uganda,UGA,2023,-0.004305657,Difference,131
Croatia,HRV,2023,-0.004777998,Difference,132
Somalia,SOM,2023,-0.004845368,Difference,133
Seychelles,SYC,2023,-0.004845602,Difference,134
Comoros,COM,2023,-0.004845692,Difference,135
South Sudan,SSD,2023,-0.004845884,Difference,136
Indonesia,IDN,2023,-0.005221602,Difference,137
Palestine,PSE,2023,-0.005333583,Difference,138
Albania,ALB,2023,-0.005623413,Difference,139
Egypt,EGY,2023,-0.007974155,Difference,140
South Africa,ZAF,2023,-0.008434594,Difference,141
New Caledonia,NCL,2023,-0.009304008,Difference,142
Cameroon,CMR,2023,-0.010395155,Difference,143
Sudan,SDN,2023,-0.011791729,Difference,144
Turkey,TUR,2023,-0.011955034,Difference,145
Morocco,MAR,2023,-0.012055586,Difference,146
Turkmenistan,TKM,2023,-0.01234191,Difference,147
Latvia,LVA,2023,-0.01613785,Difference,148
Guyana,GUY,2023,-0.022639307,Difference,149
Nigeria,NGA,2023,-0.023018477,Difference,150
Togo,TGO,2023,-0.023226397,Difference,151
Israel,ISR,2023,-0.023901089,Difference,152
Sweden,SWE,2023,-0.024500186,Difference,153
Yemen,YEM,2023,-0.025373582,Difference,154
Slovakia,SVK,2023,-0.025707632,Difference,155
Montenegro,MNE,2023,-0.025991503,Difference,156
East Timor,TLS,2023,-0.026465221,Difference,157
Liberia,LBR,2023,-0.02661344,Difference,158
Serbia,SRB,2023,-0.0266334,Difference,159
United Kingdom,GBR,2023,-0.027684758,Difference,160
Burkina Faso,BFA,2023,-0.02938615,Difference,161
Thailand,THA,2023,-0.030027657,Difference,162
Senegal,SEN,2023,-0.03047516,Difference,163
Lithuania,LTU,2023,-0.030721893,Difference,164
Ghana,GHA,2023,-0.031538334,Difference,165
Mali,MLI,2023,-0.032450553,Difference,166
Cote d'Ivoire,CIV,2023,-0.032852919,Difference,167
United States,USA,2023,-0.032975833,Difference,168
Ukraine,UKR,2023,-0.033061008,Difference,169
Benin,BEN,2023,-0.034537998,Difference,170
Algeria,DZA,2023,-0.034814569,Difference,171
Guinea-Bissau,GNB,2023,-0.036047576,Difference,172
Gambia,GMB,2023,-0.03604824,Difference,173
Guinea,GIN,2023,-0.036048396,Difference,174
Sierra Leone,SLE,2023,-0.036048405,Difference,175
Cape Verde,CPV,2023,-0.036048471,Difference,176
Mauritania,MRT,2023,-0.036048474,Difference,177
Kosovo,OWID_KOS,2023,-0.036297011,Difference,178
Niger,NER,2023,-0.036980988,Difference,179
Bosnia and Herzegovina,BIH,2023,-0.03740956,Difference,180
Luxembourg,LUX,2023,-0.038973582,Difference,181
Mozambique,MOZ,2023,-0.040017957,Difference,182
Argentina,ARG,2023,-0.040546315,Difference,183
South Korea,KOR,2023,-0.040983344,Difference,184
Denmark,DNK,2023,-0.041037392,Difference,185
Japan,JPN,2023,-0.042512502,Difference,186
Taiwan,TWN,2023,-0.045734986,Difference,187
Norway,NOR,2023,-0.046731033,Difference,188
New Zealand,NZL,2023,-0.047163804,Difference,189
Austria,AUT,2023,-0.047342692,Difference,190
Belarus,BLR,2023,-0.048726432,Difference,191
Greece,GRC,2023,-0.049644415,Difference,192
Congo,COG,2023,-0.053862594,Difference,193
Trinidad and Tobago,TTO,2023,-0.054756157,Difference,194
Spain,ESP,2023,-0.055576305,Difference,195
Ireland,IRL,2023,-0.062067934,Difference,196
Belgium,BEL,2023,-0.063297145,Difference,197
Chile,CHL,2023,-0.063598286,Difference,198
Romania,ROU,2023,-0.065120011,Difference,199
Netherlands,NLD,2023,-0.067373174,Difference,200
France,FRA,2023,-0.071637728,Difference,201
Gabon,GAB,2023,-0.072624025,Difference,202
Italy,ITA,2023,-0.07987635,Difference,203
Poland,POL,2023,-0.081769123,Difference,204
Portugal,PRT,2023,-0.085012696,Difference,205
Czechia,CZE,2023,-0.099714009,Difference,206
Equatorial Guinea,GNQ,2023,-0.100279862,Difference,207
Pakistan,PAK,2023,-0.103503595,Difference,208
Hungary,HUN,2023,-0.103749022,Difference,209
Slovenia,SVN,2023,-0.108091453,Difference,210
Germany,DEU,2023,-0.112171826,Difference,211
Finland,FIN,2023,-0.130475431,Difference,212
Estonia,EST,2023,-0.14786177,Difference,213
Bulgaria,BGR,2023,-0.231490628,Difference,214
